VIDEO Video URL,VIDEO Published Date,FACEBOOK FB Video Complete Views 30s Organic,FACEBOOK FB Video Complete Views 30s Paid,FACEBOOK FB Video Complete Views 30s Total,FACEBOOK FB Video Complete Views Organic,FACEBOOK FB Video Complete Views Paid,FACEBOOK FB Video Complete Views Total,FACEBOOK FB Video Views Organic,FACEBOOK FB Video Views Paid,FACEBOOK FB Video Views Total,FACEBOOK Post Shares,FACEBOOK Post Reach,FACEBOOK Post Fan Reach,FACEBOOK Post Likes,FACEBOOK Post Comments,FACEBOOK Post Negative Feedback: Total,Targeted?,Repost?,Bug?
https://www.facebook.com/Upworthy/posts/1039596429414548,6/25/2015,191950,0,191950,102422,0,102422,827344,0,827344,7078,2933760,1534976,31295,1941,2231,Y,N,N
https://www.facebook.com/Upworthy/posts/1038954619478729,6/24/2015,30683,0,30683,18137,0,18137,180790,0,180790,1166,1291264,768512,3848,417,644,Y,N,N
https://www.facebook.com/Upworthy/posts/1038565526184305,6/24/2015,34997,0,34997,35578,0,35578,114127,0,114127,610,1337344,502784,2744,85,365,Y,N,N
https://www.facebook.com/Upworthy/posts/1038333039540887,6/23/2015,41176,0,41176,15245,0,15245,92452,0,92452,1171,1319936,805888,2309,368,691,Y,N,N
https://www.facebook.com/Upworthy/posts/1038030286237829,6/23/2015,79868,4,79872,44592,2,44594,459016,6,459022,8130,2173952,1149952,19190,2339,1391,Y,N,N
https://www.facebook.com/Upworthy/posts/1037638306277027,6/22/2015,115106,0,115106,17246,0,17246,244961,0,244961,3277,1224192,666624,4867,929,497,N,N,N
https://www.facebook.com/Upworthy/posts/1037645306276327,6/22/2015,399481,0,399481,154096,0,154096,1466829,0,1466829,20218,4435968,1964032,64091,5023,3132,Y,N,N
https://www.facebook.com/Upworthy/posts/1035368526504005,6/19/2015,173869,1,173870,110975,1,110976,690936,1,690937,3149,3013632,1780736,18240,1289,1332,N,Y,N
https://www.facebook.com/Upworthy/posts/1035888483118676,6/19/2015,12967,0,12967,4932,0,4932,56971,0,56971,1149,527903,278143,1274,187,192,Y,Y,N
https://www.facebook.com/Upworthy/posts/1035237186517139,6/18/2015,282580,0,282580,152620,0,152620,1073671,0,1073671,14600,5763072,1785856,48805,6590,2391,Y,N,N
https://www.facebook.com/Upworthy/posts/1034324169941774,6/17/2015,157159,0,157159,72231,0,72231,740073,0,740073,12561,3054592,1474560,20522,2673,1661,Y,N,N
https://www.facebook.com/Upworthy/posts/1034271249947066,6/16/2015,131470,0,131470,31542,0,31542,543536,0,543536,6134,2024448,1308672,11579,1366,1414,Y,Y,N
https://www.facebook.com/Upworthy/posts/1034182469955944,6/16/2015,7697,0,7697,3571,0,3571,30362,0,30362,1045,649472,443392,1272,297,388,Y,Y,N
https://www.facebook.com/Upworthy/posts/1031485436892314,6/11/2015,18485,0,18485,14820,0,14820,30396,0,30396,873,848384,700160,2709,442,675,Y,Y,Y
https://www.facebook.com/Upworthy/posts/1028061193901405,6/7/2015,17223,0,17223,6617,0,6617,30342,0,30342,974,618240,511744,3180,184,438,Y,Y,Y
https://www.facebook.com/Upworthy/posts/1027429553964569,6/5/2015,80872,0,80872,70774,0,70774,118575,0,118575,6155,2654208,1146880,15286,767,1050,Y,Y,Y
https://www.facebook.com/Upworthy/posts/1026824640691727,6/4/2015,45913,0,45913,11826,0,11826,83661,0,83661,6738,1410560,923648,14427,3118,932,Y,N,Y
https://www.facebook.com/Upworthy/posts/1026634774044047,6/3/2015,24850,0,24850,20242,0,20242,35171,0,35171,431,750848,562944,2365,1269,745,Y,N,Y
https://www.facebook.com/Upworthy/posts/1026129324094592,6/3/2015,29654,0,29654,10347,0,10347,120398,0,120398,1061,780032,595968,1697,205,198,Y,N,N
